,0
8632,0.003
6489,0.003
9567,0.003
4234,0.003
4236,0.003
1417,0.003
4239,0.003
4241,0.003
4245,0.003
543,0.003
4247,0.003
8620,0.003
6486,0.003
964,0.003
2326,0.003
7582,0.003
4173,0.003
4477,0.003
2214,0.003
1454,0.003
9818,0.003
1456,0.003
4464,0.003
2201,0.003
8526,0.003
4472,0.003
590,0.003
8591,0.003
8521,0.003
6374,0.003
6524,0.003
6364,0.003
9815,0.003
7652,0.003
9433,0.003
9813,0.003
2073,0.003
2190,0.003
7656,0.003
2183,0.003
4512,0.003
4515,0.003
2215,0.003
4435,0.003
6391,0.003
8540,0.003
2318,0.003
2317,0.003
7588,0.003
4183,0.003
8653,0.003
4185,0.003
6514,0.003
9308,0.003
4190,0.003
6512,0.003
6508,0.003
6504,0.003
1413,0.003
2309,0.003
9842,0.003
7595,0.003
6502,0.003
4310,0.003
2263,0.003
2182,0.003
2199,0.003
4431,0.003
4432,0.003
4687,0.003
927,0.003
8401,0.003
1484,0.003
610,0.003
4561,0.003
940,0.003
8469,0.003
155,0.003
4554,0.003
8466,0.003
4580,0.003
6333,0.003
2154,0.003
2153,0.003
4548,0.003
2104,0.003
4588,0.003
6311,0.003
6336,0.003
9581,0.003
7682,0.003
934,0.003
9807,0.003
2149,0.003
2130,0.003
4642,0.003
1503,0.003
4567,0.003
1481,0.003
6338,0.003
2164,0.003
1559,0.003
4606,0.003
4607,0.003
8443,0.003
8448,0.003
2145,0.003
4605,0.003
2147,0.003
2174,0.003
6346,0.003
4529,0.003
4617,0.003
7685,0.003
4621,0.003
6352,0.003
1469,0.003
7691,0.003
2133,0.003
601,0.003
4520,0.003
8436,0.003
8498,0.003
8488,0.003
1534,0.003
4705,0.003
1517,0.003
9801,0.003
2105,0.003
2106,0.003
4635,0.003
2116,0.003
2129,0.003
2128,0.003
4638,0.003
1504,0.003
8427,0.003
9328,0.003
8425,0.003
2124,0.003
1525,0.003
8419,0.003
4652,0.003
4653,0.003
9799,0.003
4662,0.003
6274,0.003
4694,0.003
7699,0.003
636,0.003
8404,0.003
4682,0.003
4790,0.003
9781,0.003
4786,0.003
8349,0.003
8383,0.003
7711,0.003
6238,0.003
4727,0.003
6228,0.003
83,0.003
8375,0.003
8373,0.003
250,0.003
8370,0.003
923,0.003
4743,0.003
9340,0.003
4745,0.003
4749,0.003
249,0.003
4752,0.003
7721,0.003
4758,0.003
4762,0.003
6203,0.003
6198,0.003
1539,0.003
6393,0.003
941,0.003
4413,0.003
8024,0.003
5804,0.003
5801,0.003
7904,0.003
5793,0.003
5790,0.003
849,0.003
5789,0.003
9646,0.003
8028,0.003
5548,0.003
115,0.003
8022,0.003
9655,0.003
5555,0.003
5772,0.003
9649,0.003
1793,0.003
9680,0.003
8015,0.003
9650,0.003
5572,0.003
9653,0.003
5579,0.003
8010,0.003
1704,0.003
125,0.003
7896,0.003
1787,0.003
7980,0.003
9670,0.003
9668,0.003
9660,0.003
5654,0.003
5496,0.003
837,0.003
7972,0.003
5656,0.003
7970,0.003
5660,0.003
825,0.003
5714,0.003
5670,0.003
9396,0.003
7961,0.003
5678,0.003
5684,0.003
1740,0.003
5702,0.003
5600,0.003
1727,0.003
810,0.003
5758,0.003
5247,0.003
5727,0.003
4799,0.003
702,0.003
7781,0.003
704,0.003
6066,0.003
1988,0.003
1568,0.003
2039,0.003
6137,0.003
7751,0.003
8341,0.003
661,0.003
9780,0.003
751,0.003
9779,0.003
6183,0.003
2347,0.003
4812,0.003
4819,0.003
9771,0.003
6168,0.003
6167,0.003
6165,0.003
581,0.003
1557,0.003
1993,0.003
7779,0.003
6072,0.003
1995,0.003
1912,0.003
243,0.003
8298,0.003
6134,0.003
685,0.003
6116,0.003
2018,0.003
1577,0.003
902,0.003
6107,0.003
4966,0.003
92,0.003
7767,0.003
7768,0.003
4977,0.003
6096,0.003
9754,0.003
5239,0.003
899,0.003
6089,0.003
5000,0.003
5004,0.003
8264,0.003
1767,0.003
4798,0.003
7986,0.003
5386,0.003
9322,0.003
2227,0.003
8512,0.003
7732,0.003
4793,0.003
8079,0.003
7869,0.003
1857,0.003
5862,0.003
9635,0.003
5384,0.003
5389,0.003
113,0.003
7875,0.003
1845,0.003
109,0.003
1843,0.003
9695,0.003
1684,0.003
5419,0.003
785,0.003
7893,0.003
9383,0.003
5443,0.003
2235,0.003
6415,0.003
9826,0.003
7631,0.003
4322,0.003
5729,0.003
4315,0.003
563,0.003
8587,0.003
7617,0.003
9569,0.003
8584,0.003
4330,0.003
4335,0.003
4338,0.003
4341,0.003
